!!!!!!!	!!!!!!!
**	**
+10	+10
----------	----------
.....	.....
..............	..............
0,005	0,005
0,12	0,12
0,45	0,45
0,5	0,5
0.5	0.5
1,12	1,12
1,13	1,13
1,16	1,16
1,33	1,33
1,35	1,35
1,4	1,4
1,95	1,95
10,5	10,5
10.000	10.000
10.4	10.4
1002	1002
1012	1012
1090	1090
11.7	11.7
1110	1110
1111	1111
1160	1160
12,5	12,5
12.4	12.4
120.000	120.000
13,00	13,00
13,1	13,1
13,4	13,4
1303	1303
1323	1323
1337	1337
134	134
1352	1352
14.00	14.00
14.1	14.1
1431	1431
1470	1470
149	149
1499	1499
15.10	15.10
1519	1519
1537	1537
1547	1547
1557	1557
1582	1582
1588	1588
1592	1592
1596	1596
16,7	16,7
16,8	16,8
1615	1615
1664	1664
1669	1669
1698	1698
17	17
17,4	17,4
17.7	17.7
1707	1707
172	172
176	176
18,9	18,9
18.00	18.00
1809	1809
1810	1810
1848	1848
1860	1860
1869	1869
1870	1870
1875	1875
188	188
1896	1896
19.10	19.10
19.12	19.12
19.6	19.6
19.7	19.7
1900	1900
1938	1938
1946	1946
1948	1948
1950	1950
1972	1972
2,5	2,5
2,54	2,54
2,6	2,6
2,9	2,9
2.0	2.0
20.00	20.00
20.000	20.000
200.000	200.000
20000	20000
2020	2020
2048	2048
21.00	21.00
2160	2160
22.5	22.5
2250	2250
227	227
23.2	23.2
235	235
24.11	24.11
25.6	25.6
252	252
258	258
26.9	26.9
266	266
27,5	27,5
27.11	27.11
27.5	27.5
272	272
28.11	28.11
28.4	28.4
29.9	29.9
295	295
3.9	3.9
30.7	30.7
302	302
315	315
324	324
330	330
332	332
346	346
347	347
379	379
394	394
4,50	4,50
4,6	4,6
4.0	4.0
4.2	4.2
4.6	4.6
403	403
409	409
4100	4100
411	411
413	413
419	419
43	43
431	431
435	435
45.000	45.000
452	452
453	453
467	467
472	472
473	473
48	48
485	485
487	487
497	497
5.1	5.1
501	501
502	502
506	506
509	509
51	51
520	520
536	536
537	537
570	570
5800	5800
583	583
585	585
589	589
591	591
6	6
6,4	6,4
6,8	6,8
6.10	6.10
6.12	6.12
6.9	6.9
60	60
609	609
620	620
621	621
6300	6300
646	646
66	66
686	686
689	689
690	690
7.6	7.6
704	704
722	722
745	745
750	750
768	768
8	8
8,0	8,0
8,1	8,1
8,50	8,50
8,8	8,8
807	807
809	809
813	813
815	815
828	828
834	834
847	847
848	848
864	864
870	870
889	889
898	898
9,1	9,1
9.0	9.0
9.7	9.7
9.8	9.8
905	905
908	908
910	910
911	911
923	923
93	93
934	934
935	935
939	939
940	940
947	947
95	95
951	951
954	954
961	961
979	979
98	98
984	984
986	986
;	;
?!!	?!!
??!!	??!!
?????	?????
a-mužstva	a-mužstva
aba	aba
add	add
adr	adr
al	al
alfa	alfa
amr	amr
analýza	analýza
ao	ao
aoc	aoc
art	art
aux	aux
aaron	aaron
abú	abú
activex	activex
administrator	administrator
adrian	adrian
affleck	affleck
agatha	agatha
agregát	agregát
aha	aha
airsoft	airsoft
ajka	ajka
akbar	akbar
akvinský	akvinský
aldo	aldo
alergická	alergická
alergie	alergie
alexander	alexander
alfred	alfred
alici	alici
alina	alina
aljašky	aljašky
allianz	allianz
allied	allied
allison	allison
alpina	alpina
alí	alí
amazing	amazing
ameriky	ameriky
američanka	američanka
ami	ami
an	an
anaheimu	anaheimu
analytické	analytické
anastasia	anastasia
anchorage	anchorage
andor	andor
andreou	andreou
andres	andres
andách	andách
angelo	angelo
ani	ani
aničkou	aničkou
anna	anna
antická	antická
antikrista	antikrista
antivirus	antivirus
apokalypse	apokalypse
april	april
aquapark	aquapark
ar	ar
arabica	arabica
arabské	arabské
arabského	arabského
arch	arch
architecture	architecture
architekt	architekt
aron	aron
art	art
artemis	artemis
artura	artura
as	as
asistent	asistent
aspekty	aspekty
assistant	assistant
associated	associated
assurance	assurance
astra	astra
astrid	astrid
au	au
austrálie	austrálie
